fecha,id_tienda,id_producto,nombre,stock_actual,pred_A_week,pred_B_week,pred_blend_week,order_A,order_B,order_blend,margen_unitario,costo_almacenamiento_semanal
2024-03-31,STORE_09,PROD_002,Café con Leche,44,39.575085,39.575085,38.547062,0,0,0,2300,15
2024-03-31,STORE_09,PROD_003,Cappuccino,2,46.38054,46.38054,45.8062,45,45,44,3000,15
2024-03-31,STORE_09,PROD_004,Pan de Bono,33,32.71464,32.71464,31.53276,0,0,0,1800,20
2024-03-31,STORE_09,PROD_005,Buñuelo,24,77.55198,77.55198,78.22354,54,54,55,1700,20
2024-03-31,STORE_09,PROD_006,Croissant,2,67.254944,67.254944,67.513596,66,66,66,2300,25
2024-03-31,STORE_09,PROD_007,Pastel de Pollo,26,87.9386,87.9386,87.151596,62,62,62,2000,30
2024-03-31,STORE_09,PROD_008,Jugo de Naranja,13,91.20305,91.20305,87.122055,79,79,75,3000,50
2024-03-31,STORE_10,PROD_001,Tinto,38,40.81216,40.81216,40.71197,3,3,3,1700,10
2024-03-31,STORE_10,PROD_002,Café con Leche,34,74.249664,74.249664,74.508995,41,41,41,2300,15
2024-03-31,STORE_10,PROD_003,Cappuccino,57,72.333046,72.333046,72.17403,16,16,16,3000,15
2024-03-31,STORE_10,PROD_004,Pan de Bono,1,31.328865,31.328865,30.556032,31,31,30,1800,20
2024-03-31,STORE_10,PROD_005,Buñuelo,24,106.42627,106.42627,106.67984,83,83,83,1700,20
2024-03-31,STORE_10,PROD_006,Croissant,9,107.66383,107.66383,108.41208,99,99,100,2300,25
2024-03-31,STORE_10,PROD_007,Pastel de Pollo,29,119.226395,119.226395,117.840965,91,91,89,2000,30
2024-03-31,STORE_10,PROD_008,Jugo de Naranja,18,82.68985,82.68985,84.831764,65,65,67,3000,50
2024-03-31,STORE_11,PROD_001,Tinto,13,54.999336,54.999336,53.67536,42,42,41,1700,10
2024-03-31,STORE_11,PROD_002,Café con Leche,0,109.81267,109.81267,110.191895,110,110,111,2300,15
2024-03-31,STORE_11,PROD_003,Cappuccino,18,73.592865,73.592865,72.87518,56,56,55,3000,15
2024-03-31,STORE_11,PROD_004,Pan de Bono,10,55.608864,55.608864,56.09756,46,46,47,1800,20
2024-03-31,STORE_11,PROD_005,Buñuelo,8,172.75455,172.75455,174.33426,165,165,167,1700,20
2024-03-31,STORE_11,PROD_006,Croissant,89,131.3795,131.3795,128.86514,43,43,40,2300,25
2024-03-31,STORE_11,PROD_007,Pastel de Pollo,24,85.33357,85.33357,88.903534,62,62,65,2000,30
2024-03-31,STORE_11,PROD_008,Jugo de Naranja,15,101.75081,101.75081,103.991486,87,87,89,3000,50
2024-03-31,STORE_12,PROD_001,Tinto,40,78.94984,78.94984,79.193146,39,39,40,1700,10
2024-03-31,STORE_12,PROD_002,Café con Leche,5,85.33601,85.33601,84.25845,81,81,80,2300,15
2024-03-31,STORE_12,PROD_003,Cappuccino,19,118.452805,118.452805,119.48212,100,100,101,3000,15
2024-03-31,STORE_12,PROD_004,Pan de Bono,39,68.10706,68.10706,68.77026,30,30,30,1800,20
2024-03-31,STORE_12,PROD_005,Buñuelo,2,132.55028,132.55028,129.6053,131,131,128,1700,20
2024-03-31,STORE_12,PROD_006,Croissant,5,120.211426,120.211426,119.93909,116,116,115,2300,25
2024-03-31,STORE_12,PROD_007,Pastel de Pollo,1,140.3248,140.3248,139.03928,140,140,139,2000,30
2024-03-31,STORE_12,PROD_008,Jugo de Naranja,97,127.01282,127.01282,127.01103,31,31,31,3000,50
2024-03-31,STORE_13,PROD_001,Tinto,17,51.84036,51.84036,51.049046,35,35,35,1700,10
2024-03-31,STORE_13,PROD_002,Café con Leche,13,74.33956,74.33956,73.210495,62,62,61,2300,15
2024-03-31,STORE_13,PROD_003,Cappuccino,8,78.843704,78.843704,78.536514,71,71,71,3000,15
2024-03-31,STORE_13,PROD_004,Pan de Bono,11,49.728127,49.728127,48.773643,39,39,38,1800,20
2024-03-31,STORE_13,PROD_005,Buñuelo,29,99.04413,99.04413,97.73394,71,71,69,1700,20
2024-03-31,STORE_13,PROD_006,Croissant,49,69.86342,69.86342,68.54181,21,21,20,2300,25
2024-03-31,STORE_13,PROD_007,Pastel de Pollo,2,85.322365,85.322365,87.492294,84,84,86,2000,30
2024-03-31,STORE_13,PROD_008,Jugo de Naranja,7,105.74245,105.74245,105.0822,99,99,99,3000,50
2024-03-31,STORE_14,PROD_001,Tinto,4,65.42501,65.42501,65.94014,62,62,62,1700,10
2024-03-31,STORE_14,PROD_002,Café con Leche,11,78.86775,78.86775,79.32165,68,68,69,2300,15
2024-03-31,STORE_14,PROD_003,Cappuccino,15,88.70749,88.70749,87.613754,74,74,73,3000,15
2024-03-31,STORE_14,PROD_004,Pan de Bono,25,62.0414,62.0414,60.091324,38,38,36,1800,20
2024-03-31,STORE_14,PROD_005,Buñuelo,41,163.84373,163.84373,163.08917,123,123,123,1700,20
2024-03-31,STORE_14,PROD_006,Croissant,15,111.60453,111.60453,110.11034,97,97,96,2300,25
2024-03-31,STORE_14,PROD_007,Pastel de Pollo,13,124.73732,124.73732,123.85489,112,112,111,2000,30
2024-03-31,STORE_14,PROD_008,Jugo de Naranja,17,108.496155,108.496155,109.311806,92,92,93,3000,50
2024-03-31,STORE_15,PROD_001,Tinto,43,54.609447,54.609447,54.27578,12,12,12,1700,10
2024-03-31,STORE_15,PROD_002,Café con Leche,20,77.295654,77.295654,76.29049,58,58,57,2300,15
2024-03-31,STORE_15,PROD_003,Cappuccino,30,53.6116,53.6116,55.00351,24,24,26,3000,15
2024-03-31,STORE_15,PROD_004,Pan de Bono,25,56.011696,56.011696,56.289757,32,32,32,1800,20
2024-03-31,STORE_15,PROD_005,Buñuelo,51,119.72854,119.72854,119.021835,69,69,69,1700,20
2024-03-31,STORE_15,PROD_006,Croissant,33,129.29749,129.29749,130.82501,97,97,98,2300,25
2024-03-31,STORE_15,PROD_007,Pastel de Pollo,8,118.63448,118.63448,120.30957,111,111,113,2000,30
2024-03-31,STORE_15,PROD_008,Jugo de Naranja,38,112.548325,112.548325,111.17123,75,75,74,3000,50
2024-03-31,STORE_16,PROD_001,Tinto,12,82.76551,82.76551,81.489685,71,71,70,1700,10
2024-03-31,STORE_16,PROD_002,Café con Leche,37,147.57553,147.57553,149.20575,111,111,113,2300,15
2024-03-31,STORE_16,PROD_003,Cappuccino,47,101.514854,101.514854,103.43384,55,55,57,3000,15
2024-03-31,STORE_16,PROD_004,Pan de Bono,23,49.17483,49.17483,49.17858,27,27,27,1800,20
2024-03-31,STORE_16,PROD_005,Buñuelo,25,272.66263,272.66263,263.36102,248,248,239,1700,20
2024-03-31,STORE_16,PROD_006,Croissant,3,196.4476,196.4476,204.35063,194,194,202,2300,25
2024-03-31,STORE_16,PROD_007,Pastel de Pollo,7,187.68672,187.68672,186.43774,181,181,180,2000,30
2024-03-31,STORE_16,PROD_008,Jugo de Naranja,16,136.98701,136.98701,140.99075,121,121,125,3000,50
2024-03-31,STORE_17,PROD_001,Tinto,0,36.808834,36.808834,35.42373,37,37,36,1700,10
2024-03-31,STORE_17,PROD_002,Café con Leche,37,50.616505,50.616505,49.90889,14,14,13,2300,15
2024-03-31,STORE_17,PROD_003,Cappuccino,9,46.448364,46.448364,45.69026,38,38,37,3000,15
2024-03-31,STORE_17,PROD_004,Pan de Bono,25,22.103489,22.103489,21.637583,0,0,0,1800,20
2024-03-31,STORE_17,PROD_005,Buñuelo,29,69.28881,69.28881,71.618576,41,41,43,1700,20
2024-03-31,STORE_17,PROD_006,Croissant,15,40.315792,40.315792,40.136135,26,26,26,2300,25
2024-03-31,STORE_17,PROD_007,Pastel de Pollo,31,72.585464,72.585464,70.36499,42,42,40,2000,30
2024-03-31,STORE_17,PROD_008,Jugo de Naranja,22,67.83455,67.83455,70.67131,46,46,49,3000,50
2024-03-31,STORE_18,PROD_001,Tinto,8,63.99357,63.99357,63.034874,56,56,56,1700,10
2024-03-31,STORE_18,PROD_002,Café con Leche,33,115.704895,115.704895,114.124084,83,83,82,2300,15
2024-03-31,STORE_18,PROD_003,Cappuccino,20,66.045715,66.045715,67.12819,47,47,48,3000,15
2024-03-31,STORE_18,PROD_004,Pan de Bono,3,70.87026,70.87026,68.907166,68,68,66,1800,20
2024-03-31,STORE_18,PROD_005,Buñuelo,29,97.37581,97.37581,97.28233,69,69,69,1700,20
2024-03-31,STORE_18,PROD_006,Croissant,22,98.795135,98.795135,102.0465,77,77,81,2300,25
2024-03-31,STORE_18,PROD_007,Pastel de Pollo,6,131.00206,131.00206,129.51459,126,126,124,2000,30
2024-03-31,STORE_18,PROD_008,Jugo de Naranja,36,104.61422,104.61422,102.44501,69,69,67,3000,50
2024-03-31,STORE_19,PROD_001,Tinto,9,51.64701,51.64701,51.631836,43,43,43,1700,10
2024-03-31,STORE_19,PROD_002,Café con Leche,16,77.025375,77.025375,76.35849,62,62,61,2300,15
2024-03-31,STORE_19,PROD_003,Cappuccino,8,83.11065,83.11065,83.64842,76,76,76,3000,15
2024-03-31,STORE_19,PROD_004,Pan de Bono,25,49.491734,49.491734,49.364403,25,25,25,1800,20
2024-03-31,STORE_19,PROD_005,Buñuelo,17,211.42593,211.42593,217.89505,195,195,201,1700,20
2024-03-31,STORE_19,PROD_006,Croissant,12,116.081375,116.081375,116.69925,105,105,105,2300,25
2024-03-31,STORE_19,PROD_007,Pastel de Pollo,0,115.44931,115.44931,116.44133,116,116,117,2000,30
2024-03-31,STORE_19,PROD_008,Jugo de Naranja,18,89.19023,89.19023,91.00224,72,72,74,3000,50
2024-03-31,STORE_20,PROD_001,Tinto,19,42.391937,42.391937,41.11023,24,24,23,1700,10
2024-03-31,STORE_20,PROD_002,Café con Leche,3,64.8349,64.8349,65.4073,62,62,63,2300,15
2024-03-31,STORE_20,PROD_003,Cappuccino,8,111.302826,111.302826,114.48271,104,104,107,3000,15
2024-03-31,STORE_20,PROD_004,Pan de Bono,42,40.490494,40.490494,40.541172,0,0,0,1800,20
2024-03-31,STORE_20,PROD_005,Buñuelo,15,132.2542,132.2542,130.29324,118,118,116,1700,20
2024-03-31,STORE_20,PROD_006,Croissant,11,129.92558,129.92558,130.15652,119,119,120,2300,25
2024-03-31,STORE_20,PROD_007,Pastel de Pollo,54,120.3161,120.3161,120.64465,67,67,67,2000,30
2024-03-31,STORE_20,PROD_008,Jugo de Naranja,33,153.2164,153.2164,154.35635,121,121,122,3000,50
